periodo,valor
2010-1,7386.250
2010-2,6848.175
2010-3,7462.826
2010-4,7745.075
2010-5,6837.684
2010-6,6499.295
2010-7,6735.250
2010-8,7283.952
2010-9,7709.295
2010-10,8292.404
2010-11,8469.887
2010-12,9147.262
2011-1,9555.700
2011-2,9867.600
2011-3,9530.652
2011-4,9483.250
2011-5,8927.050
2011-6,9045.432
2011-7,9619.238
2011-8,9041.296
2011-9,8314.841
2011-10,7347.500
2011-11,7551.773
2011-12,7567.550
2012-1,8043.452
2012-2,8422.690
2012-3,8457.046
2012-4,8259.632
2012-5,7919.932
2012-6,7420.105
2012-7,7589.386
2012-8,7492.455
2012-9,8068.375
2012-10,8069.522
2012-11,7694.205
2012-12,7962.579
2013-1,8049.273
2013-2,8070.475
2013-3,7662.900
2013-4,7203.357
2013-5,7229.167
2013-6,7004.050
2013-7,6892.978
2013-8,7182.262
2013-9,7161.429
2013-10,7188.739
2013-11,7066.405
2013-12,7202.950
2014-1,7294.886
2014-2,7152.150
2014-3,6667.833
2014-4,6670.825
2014-5,6883.875
2014-6,6806.095
2014-7,7104.500
2014-8,7000.550
2014-9,6872.227
2014-10,6739.196
2014-11,6701.125
2014-12,6422.952
2015-1,5815.833
2015-2,5702.075
2015-3,5925.841
2015-4,6028.475
2015-5,6300.605
2015-6,5833.614
2015-7,5456.913
2015-8,5088.925
2015-9,5208.091
2015-10,5222.614
2015-11,4808.238
2015-12,4629.000
2016-1,4462.750
2016-2,4595.476
2016-3,4947.548
2016-4,4851.119
2016-5,4708.350
2016-6,4630.636
2016-7,4855.786
2016-8,4758.207
2016-9,4707.182
2016-10,4732.143
2016-11,5443.250
2016-12,5666.250
2017-1,5737.429
2017-2,5941.550
2017-3,5821.522
2017-4,5697.667
2017-5,5591.500
2017-6,5699.477
2017-7,5978.595
2017-8,6478.182
2017-9,6583.190
2017-10,6797.386
2017-11,6825.568
2017-12,6801.158
2018-1,7080.295
2018-2,7001.800
2018-3,6795.762
2018-4,6838.550
2018-5,6821.762
2018-6,6954.786
2018-7,6248.182
2018-8,6039.750
2018-9,6020.025
2018-10,6215.891
2018-11,6193.000
2018-12,6094.210
2019-1,5932.023
2019-2,6278.200
2019-3,6451.024
2019-4,6445.100
2019-5,6028.310
2019-6,5868.425
2019-7,5939.848
2019-8,5707.976
2019-9,5745.476
2019-10,5742.891
2019-11,5859.690
2019-12,6062.425
2020-1,6049.205
2020-2,5686.450
2020-3,5178.682
2020-4,5048.250
2020-5,5233.816
2020-6,5742.386
2020-7,6353.761
2020-8,6496.700
2020-9,6712.409
2020-10,6702.773
2020-11,7063.429
2020-12,7755.238
2021-1,7970.500
2021-2,8460.250
2021-3,9004.979
2021-4,9335.550
2021-5,10183.974
2021-6,9612.432
2021-7,9433.591
2021-8,9357.190
2021-9,9324.068
2021-10,9778.500
2021-11,9765.478
2021-12,9550.310
2022-1,9775.925
2022-2,9941.350
2022-3,10237.587
2022-4,10183.132
2022-5,9362.810
2022-6,9033.125
2022-7,7529.786
2022-8,7960.977
2022-9,7734.705
2022-10,7621.214
2022-11,8029.955
2022-12,8367.225
2023-1,8999.786
2023-2,8955.200
2023-3,8835.718
2023-4,8814.000
2023-5,8234.275
2023-6,8386.228
2023-7,8445.262
2023-8,8351.772
2023-9,8270.857
2023-10,7939.659
2023-11,8173.955
2023-12,8394.105
2024-1,8344.296
2024-2,8310.738
2024-3,8675.625
2024-4,9482.429
2024-5,10129.071
2024-6,9641.600
2024-7,9393.565
2024-8,8963.714
2024-9,9254.500
2024-10,9539.239
2024-11,9074.786
2024-12,8919.525
2025-1,8977.568
2025-2,9329.250
2025-3,9731.071
2025-4,9192.125
2025-5,9529.775
2025-6,9833.738
2025-7,9778.218
2025-8,9645.850
2025-9,9952.728
2025-10,10696.021
2025-11,10800.775
2025-12,11803.786
2026-1,13088.881
2026-2,12967.825
