periodo,valor
2009-1,29.8
2009-2,30.5
2009-3,31.8
2009-4,31.3
2009-5,30.4
2009-6,29.4
2009-7,29.1
2009-8,28.5
2009-9,28.7
2009-10,29.1
2009-11,30.4
2009-12,29.4
2010-1,28.6
2010-2,31.6
2010-3,32.2
2010-4,32.5
2010-5,32.4
2010-6,31.7
2010-7,30.6
2010-8,29.5
2010-9,29.4
2010-10,29.3
2010-11,30.7
2010-12,30.0
2011-1,29.4
2011-2,32.1
2011-3,33.4
2011-4,33.2
2011-5,32.7
2011-6,32.1
2011-7,30.9
2011-8,30.2
2011-9,30.2
2011-10,30.5
2011-11,31.4
2011-12,30.7
2012-1,30.1
2012-2,30.4
2012-3,31.2
2012-4,30.9
2012-5,30.5
2012-6,30.1
2012-7,30.0
2012-8,30.1
2012-9,30.3
2012-10,30.8
2012-11,31.5
2012-12,30.8
2013-1,30.5
2013-2,31.7
2013-3,32.2
2013-4,32.6
2013-5,32.4
2013-6,32.1
2013-7,31.8
2013-8,32.0
2013-9,31.4
2013-10,31.6
2013-11,31.8
2013-12,31.6
2014-1,30.8
2014-2,31.4
2014-3,31.6
2014-4,32.1
2014-5,32.3
2014-6,32.1
2014-7,31.9
2014-8,31.6
2014-9,31.2
2014-10,32.0
2014-11,32.5
2014-12,31.9
2015-1,31.6
2015-2,32.9
2015-3,33.2
2015-4,33.4
2015-5,33.0
2015-6,32.7
2015-7,32.1
2015-8,31.8
2015-9,31.6
2015-10,31.6
2015-11,31.7
2015-12,31.0
2016-1,30.3
2016-2,31.0
2016-3,31.1
2016-4,30.7
2016-5,30.2
2016-6,29.9
2016-7,29.8
2016-8,29.7
2016-9,29.8
2016-10,30.0
2016-11,30.3
2016-12,29.9
2017-1,30.6
2017-2,31.6
2017-3,32.4
2017-4,34.7
2017-5,32.7
2017-6,32.4
2017-7,32.2
2017-8,31.9
2017-9,31.4
2017-10,31.4
2017-11,31.7
2017-12,31.0
2018-1,30.8
2018-2,31.5
2018-3,31.4
2018-4,31.3
2018-5,30.9
2018-6,30.5
2018-7,30.3
2018-8,29.8
2018-9,29.2
2018-10,29.1
2018-11,29.2
2018-12,28.5
2019-1,28.7
2019-2,29.5
2019-3,29.2
2019-4,28.7
2019-5,28.5
2019-6,27.8
2019-7,27.7
2019-8,27.5
2019-9,27.3
2019-10,27.5
2019-11,27.7
2019-12,27.4
2020-1,27.5
2020-2,28.6
2020-3,28.6
2020-4,27.0
2020-5,26.5
2020-6,26.5
2020-7,26.4
2020-8,26.2
2020-9,26.2
2020-10,26.6
2020-11,26.7
2020-12,26.5
2021-1,27.0
2021-2,27.7
2021-3,28.1
2021-4,28.3
2021-5,28.1
2021-6,28.1
2021-7,27.8
2021-8,28.3
2021-9,28.7
2021-10,29.3
2021-11,29.8
2021-12,30.0
2022-1,29.8
2022-2,30.7
2022-3,31.9
2022-4,32.2
2022-5,32.6
2022-6,32.8
2022-7,33.4
2022-8,33.4
2022-9,33.9
2022-10,34.3
2022-11,35.6
2022-12,35.4
2023-1,35.6
2023-2,36.8
2023-3,37.4
2023-4,38.0
2023-5,38.6
2023-6,38.6
2023-7,38.3
2023-8,38.7
2023-9,38.8
2023-10,38.9
2023-11,39.5
2023-12,38.6
2024-1,37.5
2024-2,37.8
2024-3,37.5
2024-4,37.6
2024-5,37.2
2024-6,36.5
2024-7,35.8
2024-8,36.1
2024-9,36.1
2024-10,36.3
2024-11,36.3
2024-12,36.0
2025-1,38.6
2025-2,37.0
2025-3,36.8
2025-4,36.7
2025-5,36.3
2025-6,36.0
2025-7,35.8
2025-8,35.6
2025-9,35.7
2025-10,35.4
2025-11,35.2
2025-12,34.5
