periodo, valor ,
2016-1,10735.6 ,
2016-2,9885.0 ,
2016-3,10870.5 ,
2016-4,9511.1 ,
2016-5,7621.8 ,
2016-6,11412.4 ,
2016-7,8440.5 ,
2016-8,9723.6 ,
2016-9,7109.7 ,
2016-10,7059.2 ,
2016-11,6776.8 ,
2016-12,7248.5 ,
2017-1,6233.7 ,
2017-2,5889.8 ,
2017-3,6426.2 ,
2017-4,5803.3 ,
2017-5,6150.7 ,
2017-6,7240.6 ,
2017-7,7320.1 ,
2017-8,8605.2 ,
2017-9,8486.1 ,
2017-10,8449.3 ,
2017-11,7841.2 ,
2017-12,5337.9 ,
2018-1,4576.1 ,
2018-2,4358.5 ,
2018-3,4731.1 ,
2018-4,4437.6 ,
2018-5,4720.6 ,
2018-6,4898.2 ,
2018-7,5313.9 ,
2018-8,5242.4 ,
2018-9,4294.9 ,
2018-10,4506.6 ,
2018-11,4123.0 ,
2018-12,4282.7 ,
2019-1,3873.8 ,
2019-2,3891.3 ,
2019-3,3953.7 ,
2019-4,4262.9 ,
2019-5,4364.4 ,
2019-6,4067.3 ,
2019-7,4656.7 ,
2019-8,4681.1 ,
2019-9,4460.8 ,
2019-10,4797.8 ,
2019-11,4804.8 ,
2019-12,4253.1 ,
2020-1,4625.9 ,
2020-2,4054.1 ,
2020-3,3645.0 ,
2020-4,2566.2 ,
2020-5,3210.6 ,
2020-6,3633.9 ,
2020-7,3427.2 ,
2020-8,3686.0 ,
2020-9,3697.9 ,
2020-10,3900.7 ,
2020-11,4013.4 ,
2020-12,4667.7 ,
2021-1,3645.3 ,
2021-2,4056.3 ,
2021-3,4720.9 ,
2021-4,4174.6 ,
2021-5,3440.1 ,
2021-6,3798.9 ,
2021-7,5197.0 ,
2021-8,4706.1 ,
2021-9,5825.0 ,
2021-10,5614.8 ,
2021-11,5620.7 ,
2021-12,5470.5 ,
2022-1,5359.7 ,
2022-2,4886.9 ,
2022-3,5476.7 ,
2022-4,5952.0 ,
2022-5,5905.0 ,
2022-6,5993.0 ,
2022-7,6293.0 ,
2022-8,5941.0 ,
2022-9,5915.0 ,
2022-10,6547.0 ,
2022-11,6485.0 ,
2022-12,6550.0 ,
2023-1,6420.0 ,
2023-2,5409.0 ,
2023-3,6221.0 ,
2023-4,6495.0 ,
2023-5,7079.0 ,
2023-6,7659.0 ,
2023-7,7755.0 ,
2023-8,7932.0 ,
2023-9,7351.0 ,
2023-10,8328.0 ,
2023-11,8141.0 ,
2023-12,7100.0 ,
2024-1,6151.0 ,
2024-2,6544.0 ,
2024-3,6644.0 ,
2024-4,6591.0 ,
2024-5,6995.0 ,
2024-6,6493.0 ,
2024-7,7456.0 ,
2024-8,7058.0 ,
2024-9,6203.0 ,
2024-10,7515.0 ,
2024-11,6824.0 ,
2024-12,6774.0 ,
2025-1,6020.0 ,
2025-2,6173.0 ,
2025-3,6451.0 ,
2025-4,6198.0 ,
2025-5,6807.0 ,
2025-6,6620.0 ,
2025-7,7594.3 ,
2025-8,6945.4 ,
2025-9,7119.5 ,
2025-10,7692.0 ,
2025-11,6799.7 ,
2025-12,8739.4 ,
2026-1,7107.2 ,
2026-2,6538.9 ,
