periodo,valor
2021-1,209879.4
2021-2,185639.2
2021-3,213619.3
2021-4,200791.5
2021-5,218327.6
2021-6,234469.2
2021-7,248245.7
2021-8,251069.7
2021-9,233624.3
2021-10,218965.1
2021-11,255675.7
2021-12,244337.8
2022-1,217514.5
2022-2,197664.6
2022-3,216969.1
2022-4,224348.0
2022-5,252241.8
2022-6,280668.5
2022-7,238846.6
2022-8,289727.9
2022-9,241423.8
2022-10,286111.5
2022-11,243388.0
2022-12,268501.2
2023-1,235301.8
2023-2,212078.4
2023-3,217421.2
2023-4,218115.4
2023-5,270345.2
2023-6,282222.6
2023-7,301063.5
2023-8,275827.9
2023-9,256390.7
2023-10,240280.1
2023-11,214462.1
2023-12,238741.5
2024-1,196819.2
2024-2,171954.6
2024-3,160519.2
2024-4,177903.3
2024-5,286582.2
2024-6,219706.6
2024-7,201046.9
2024-8,205397.1
2024-9,220329.2
2024-10,213790.0
2024-11,229050.1
2024-12,215780.5
2025-1,227177.5
2025-2,206297.0
2025-3,185385.3
2025-4,188850.0
2025-5,238750.0
2025-6,225438.0
2025-7,224142.8
2025-8,209522.4
2025-9,205503.1
2025-10,216675.7
2025-11,199966.4
2025-12,238825.9
2026-1,218404.6
2026-2,196394.8
2026-3,187059.6
