periodo,valor
2021-1, 159998.8 
2021-2, 137471.0 
2021-3, 156885.1 
2021-4, 144231.1 
2021-5, 170764.7 
2021-6, 177029.3 
2021-7, 180984.3 
2021-8, 193353.1 
2021-9, 157374.7 
2021-10, 167418.0 
2021-11, 188903.2 
2021-12, 163175.8 
2022-1, 162663.3 
2022-2, 147596.9 
2022-3, 160407.5 
2022-4, 171075.0 
2022-5, 194642.1 
2022-6, 212401.1 
2022-7, 180598.9 
2022-8, 213997.1 
2022-9, 171791.3 
2022-10, 216402.6 
2022-11, 173025.1 
2022-12, 162391.8 
2023-1, 169970.8 
2023-2, 155395.6 
2023-3, 157124.9 
2023-4, 153562.9 
2023-5, 196256.7 
2023-6, 208941.9 
2023-7, 175513.4 
2023-8, 185249.2 
2023-9, 165686.8 
2023-10, 171081.4 
2023-11, 150663.6 
2023-12, 154137.8 
2024-1, 150048.6 
2024-2, 130172.0 
2024-3, 118602.8 
2024-4, 132033.0 
2024-5, 240653.2 
2024-6, 165092.7 
2024-7, 146658.1 
2024-8, 154398.8 
2024-9, 172627.5 
2024-10, 156470.6 
2024-11, 165614.5 
2024-12, 157343.8 
2025-1, 171252.6 
2025-2, 155126.9 
2025-3, 133680.2 
2025-4, 140153.6 
2025-5, 181010.8 
2025-6, 171226.2 
2025-7, 156781.1 
2025-8, 158296.6 
2025-9, 152011.7 
2025-10, 160505.5 
2025-11, 150404.5 
2025-12, 158790.3 
2026-1, 156108.2 
2026-2, 140276.6 
2026-3, 129668.2 
