periodo,valor
2018-1-31,13.75
2018-2-01,13.75
2018-2-02,13.75
2018-2-05,13.75
2018-2-06,13.75
2018-2-07,13.75
2018-2-08,13.75
2018-2-09,13.75
2018-2-22,13.75
2018-2-23,13.75
2018-2-24,13.75
2018-2-26,13.75
2018-2-27,13.75
2018-2-28,13.75
2018-3-01,13.75
2018-3-02,13.95
2018-3-05,13.95
2018-3-06,13.95
2018-3-07,13.95
2018-3-08,13.95
2018-3-09,13.95
2018-3-12,13.95
2018-3-13,13.95
2018-3-14,13.95
2018-3-15,13.95
2018-3-16,13.95
2018-3-19,13.95
2018-3-20,13.95
2018-3-21,13.95
2018-3-22,13.95
2018-3-23,13.95
2018-3-26,13.95
2018-3-27,13.95
2018-3-28,13.95
2018-3-29,13.95
2018-3-30,13.95
2018-4-02,13.95
2018-4-03,13.95
2018-4-04,13.95
2018-4-08,13.95
2018-4-09,13.95
2018-4-10,13.95
2018-4-11,13.95
2018-4-12,13.95
2018-4-13,13.95
2018-4-16,13.95
2018-4-17,13.95
2018-4-18,13.95
2018-4-19,13.95
2018-4-20,13.95
2018-4-23,14.35
2018-4-24,14.35
2018-4-25,14.35
2018-4-26,14.35
2018-4-27,14.35
2018-4-28,14.35
2018-5-02,14.35
2018-5-03,14.35
2018-5-04,14.35
2018-5-07,14.35
2018-5-08,14.35
2018-5-09,14.35
2018-5-10,14.35
2018-5-11,14.35
2018-5-14,14.35
2018-5-15,14.35
2018-5-16,14.35
2018-5-17,14.35
2018-5-18,14.35
2018-5-21,14.35
2018-5-22,14.35
2018-5-23,14.35
2018-5-24,14.35
2018-5-25,14.35
2018-5-28,14.35
2018-5-29,14.35
2018-5-30,14.35
2018-5-31,14.35
2018-6-01,14.35
2018-6-04,14.35
2018-6-05,14.35
2018-6-06,14.35
2018-6-07,14.35
2018-6-08,14.35
2018-6-11,14.35
2018-6-12,14.35
2018-6-13,14.35
2018-6-14,14.35
2018-6-15,14.35
2018-6-19,14.35
2018-6-20,14.35
2018-6-21,14.35
2018-6-22,14.35
2018-6-25,14.35
2018-6-26,14.35
2018-6-27,14.35
2018-6-28,14.35
2018-6-29,14.35
2018-7-02,14.35
2018-7-03,14.35
2018-7-04,14.35
2018-7-05,14.35
2018-7-06,14.35
2018-7-09,14.35
2018-7-10,14.05
2018-7-11,14.05
2018-7-12,14.05
2018-7-13,14.05
2018-7-16,14.05
2018-7-17,14.05
2018-7-18,14.05
2018-7-19,14.05
2018-7-20,14.05
2018-7-23,14.05
2018-7-24,14.05
2018-7-25,14.05
2018-7-26,14.05
2018-7-27,14.05
2018-7-30,13.75
2018-7-31,13.75
2018-8-01,13.75
2018-8-02,13.75
2018-8-03,13.75
2018-8-06,13.75
2018-8-07,13.75
2018-8-08,13.75
2018-8-09,13.75
2018-8-10,13.75
2018-8-13,13.75
2018-8-14,13.75
2018-8-15,13.75
2018-8-16,13.75
2018-8-17,13.75
2018-8-20,13.75
2018-8-21,13.75
2018-8-22,13.75
2018-8-23,13.75
2018-8-24,13.75
2018-8-27,13.75
2018-8-28,13.75
2018-8-29,13.75
2018-8-30,13.75
2018-8-31,13.75
2018-9-03,13.75
2018-9-04,13.75
2018-9-05,13.75
2018-9-06,13.75
2018-9-07,13.75
2018-9-10,13.75
2018-9-11,13.75
2018-9-12,13.75
2018-9-13,13.75
2018-9-14,13.75
2018-9-17,13.75
2018-9-18,13.75
2018-9-19,13.75
2018-9-20,13.75
2018-9-21,13.75
2018-9-25,13.75
2018-9-26,13.75
2018-9-27,13.75
2018-9-28,13.75
2018-9-29,13.75
2018-10-08,13.75
2018-10-09,13.75
2018-10-10,13.75
2018-10-11,13.75
2018-10-12,13.75
2018-10-15,13.75
2018-10-16,13.75
2018-10-17,13.75
2018-10-18,13.75
2018-10-19,13.75
2018-10-22,13.75
2018-10-23,13.75
2018-10-24,13.75
2018-10-25,13.75
2018-10-26,13.75
2018-10-29,13.75
2018-10-30,13.75
2018-10-31,13.75
2018-11-01,13.75
2018-11-02,13.75
2018-11-05,13.75
2018-11-06,13.75
2018-11-07,13.75
2018-11-08,13.75
2018-11-09,13.75
2018-11-12,13.75
2018-11-13,13.75
2018-11-14,13.75
2018-11-15,13.75
2018-11-16,13.75
2018-11-19,13.75
2018-11-20,13.75
2018-11-21,13.75
2018-11-22,13.75
2018-11-23,13.75
2018-11-26,13.45
2018-11-27,13.45
2018-11-28,13.45
2018-11-29,13.45
2018-11-30,13.35
2018-12-03,13.35
2018-12-04,13.35
2018-12-05,13.35
2018-12-06,13.35
2018-12-07,13.35
2018-12-10,13.35
2018-12-11,13.35
2018-12-12,13.35
