período	Valor
2014-1	981
2014-2	582
2014-3	522
2014-4	439
2014-5	654
2014-6	503
2014-7	535
2014-8	470
2014-9	713
2014-10	605
2014-11	455
2014-12	537
2015-1	476
2015-2	361
2015-3	505
2015-4	636
2015-5	584
2015-6	562
2015-7	637
2015-8	661
2015-9	701
2015-10	566
2015-11	644
2015-12	611
2016-1	620
2016-2	476
2016-3	634
2016-4	597
2016-5	469
2016-6	437
2016-7	472
2016-8	557
2016-9	481
2016-10	484
2016-11	652
2016-12	646
2017-1	621
2017-2	712
2017-3	823
2017-4	939
2017-5	949
2017-6	728
2017-7	856
2017-8	923
2017-9	848
2017-10	809
2017-11	842
2017-12	794
2018-1	859
2018-2	593
2018-3	766
2018-4	950
2018-5	1006
2018-6	635
2018-7	592
2018-8	582
2018-9	525
2018-10	473
2018-11	393
2018-12	370
2019-1	493
2019-2	417
2019-3	384
2019-4	416
2019-5	336
2019-6	310
2019-7	371
2019-8	369
2019-9	316
2019-10	296
2019-11	270
2019-12	208
2020-1	251
2020-2	274
2020-3	246
2020-4	86
2020-5	211
2020-6	336
2020-7	214
2020-8	294
2020-9	493
2020-10	341
2020-11	260
2020-12	220
2021-1	293
2021-2	307
2021-3	418
2021-4	329
2021-5	233
2021-6	264
2021-7	371
2021-8	558
2021-9	504
2021-10	534
2021-11	482
2021-12	588
2022-1	454
2022-2	502
2022-3	682
2022-4	581
2022-5	647
2022-6	451
2022-7	482
2022-8	442
2022-9	443
2022-10	461
2022-11	459
2022-12	416
2023-1	363
2023-2	405
2023-3	827
2023-4	521
2023-5	593
2023-6	502
2023-7	431
2023-8	590
2023-9	577
2023-10	585
2023-11	578
2023-12	454
2024-1	371
2024-2	398
2024-3	396
2024-4	522
2024-5	612
2024-6	419
2024-7	662
2024-8	801
2024-9	647
2024-10	813
2024-11	714
2024-12	953
2025-1	1.144
2025-2	651
2025-3	706
2025-4	900
2025-5	953
2025-6	628
2025-7	791
2025-8	968
2025-9	794
2025-10	1.125
2025-11	941
2025-12	901
2026-1	880
2026-2	1.051
