periodo, valor ,
2016-1,5607.9 ,
2016-2,5127.0 ,
2016-3,5285.6 ,
2016-4,5012.8 ,
2016-5,4658.3 ,
2016-6,4883.7 ,
2016-7,5334.6 ,
2016-8,5484.6 ,
2016-9,5234.9 ,
2016-10,5654.1 ,
2016-11,5533.3 ,
2016-12,6299.7 ,
2017-1,6313.0 ,
2017-2,5366.4 ,
2017-3,5762.1 ,
2017-4,5403.8 ,
2017-5,5563.1 ,
2017-6,5699.5 ,
2017-7,6204.9 ,
2017-8,6290.8 ,
2017-9,6044.9 ,
2017-10,6150.9 ,
2017-11,6270.2 ,
2017-12,6757.5 ,
2018-1,6680.0 ,
2018-2,5700.5 ,
2018-3,6046.2 ,
2018-4,5509.3 ,
2018-5,5818.9 ,
2018-6,5561.5 ,
2018-7,5758.2 ,
2018-8,5793.4 ,
2018-9,4924.2 ,
2018-10,5247.2 ,
2018-11,4995.2 ,
2018-12,5835.2 ,
2019-1,5505.1 ,
2019-2,5017.3 ,
2019-3,5374.2 ,
2019-4,4960.2 ,
2019-5,5327.3 ,
2019-6,5064.1 ,
2019-7,5799.0 ,
2019-8,5576.6 ,
2019-9,5539.7 ,
2019-10,5696.5 ,
2019-11,5565.0 ,
2019-12,5631.0 ,
2020-1,6016.9 ,
2020-2,5741.2 ,
2020-3,4231.7 ,
2020-4,2495.5 ,
2020-5,3592.1 ,
2020-6,4365.9 ,
2020-7,4008.4 ,
2020-8,4900.0 ,
2020-9,4113.4 ,
2020-10,4477.7 ,
2020-11,4427.9 ,
2020-12,6041.5 ,
2021-1,5565.0 ,
2021-2,5030.6 ,
2021-3,5792.7 ,
2021-4,4755.4 ,
2021-5,3922.4 ,
2021-6,3941.8 ,
2021-7,5566.0 ,
2021-8,5562.8 ,
2021-9,6221.7 ,
2021-10,6820.3 ,
2021-11,6546.5 ,
2021-12,7049.7 ,
2022-1,6398.0 ,
2022-2,5979.2 ,
2022-3,6975.1 ,
2022-4,6544.0 ,
2022-5,6125.0 ,
2022-6,6288.0 ,
2022-7,6361.0 ,
2022-8,6365.0 ,
2022-9,5883.0 ,
2022-10,6602.0 ,
2022-11,6323.0 ,
2022-12,6644.0 ,
2023-1,7156.0 ,
2023-2,6085.0 ,
2023-3,6578.9 ,
2023-4,6361.0 ,
2023-5,6568.0 ,
2023-6,6384.0 ,
2023-7,7074.0 ,
2023-8,6767.0 ,
2023-9,6344.0 ,
2023-10,6694.0 ,
2023-11,7266.0 ,
2023-12,7071.0 ,
2024-1,6378.0 ,
2024-2,6028.0 ,
2024-3,6387.0 ,
2024-4,6065.0 ,
2024-5,6473.0 ,
2024-6,6256.0 ,
2024-7,6626.0 ,
2024-8,6234.0 ,
2024-9,5857.0 ,
2024-10,7158.0 ,
2024-11,6482.0 ,
2024-12,6884.0 ,
2025-1,6838.0 ,
2025-2,6113.0 ,
2025-3,6940.0 ,
2025-4,6258.0 ,
2025-5,6487.0 ,
2025-6,6207.0 ,
2025-7,6778.0 ,
2025-8,6542.3 ,
2025-9,6546.6 ,
2025-10,7189.0 ,
2025-11,6452.6 ,
2025-12,7281.8 ,
2026-1,6683.2 ,
2026-2,6078.7 ,
