periodo,valor
2014-2,426
2014-3,429
2014-4,414
2014-5,498
2014-6,451
2014-7,535
2014-8,477
2014-9,517
2014-10,439
2014-11,287
2014-12,224
2015-1,631
2015-2,394
2015-3,386
2015-4,469
2015-5,410
2015-6,527
2015-7,531
2015-8,485
2015-9,566
2015-10,583
2015-11,415
2015-12,234
2016-1,535
2016-2,464
2016-3,536
2016-4,500
2016-5,577
2016-6,476
2016-7,504
2016-8,643
2016-9,546
2016-10,506
2016-11,423
2016-12,320
2017-1,856
2017-2,476
2017-3,648
2017-4,526
2017-5,682
2017-6,611
2017-7,711
2017-8,736
2017-9,717
2017-10,646
2017-11,586
2017-12,336
2018-1,1111
2018-2,655
2018-3,714
2018-4,745
2018-5,685
2018-6,590
2018-7,638
2018-8,625
2018-9,424
2018-10,473
2018-11,324
2018-12,216
2019-1,477
2019-2,323
2019-3,326
2019-4,309
2019-5,305
2019-6,304
2019-7,361
2019-8,338
2019-9,289
2019-10,242
2019-11,218
2019-12,123
2020-1,357
2020-2,241
2020-3,121
2020-4,63
2020-5,216
2020-6,290
2020-7,265
2020-8,265
2020-9,262
2020-10,286
2020-11,266
2020-12,123
2021-1,395
2021-2,214
2021-3,290
2021-4,284
2021-5,165
2021-6,323
2021-7,264
2021-8,269
2021-9,229
2021-10,198
2021-11,198
2021-12,105
2022-1,348
2022-2,243
2022-3,292
2022-4,275
2022-5,274
2022-6,286
2022-7,341
2022-8,332
2022-9,303
2022-10,232
2022-11,235
2022-12,159
2023-1,391
2023-2,235
2023-3,339
2023-4,310
2023-5,334
2023-6,369
2023-7,412
2023-8,311
2023-9,289
2023-10,347
2023-11,299
2023-12,136
2024-1,291
2024-2,203
2024-3,215
2024-4,265
2024-5,277
2024-6,242
2024-7,320
2024-8,321
2024-9,348
2024-10,338
2024-11,311
2024-12,212
2025-1,569
2025-2,367
2025-3,427
2025-4,418
2025-5,415
2025-6,391
2025-7,505
2025-8,470
2025-9,487
2025-10,389
2025-11,254
2025-12,168
2026-1,528
2026-2,327
